date,Open,High,Low,aapl,Adj Close,Volume,Date,Open,High,Low,amzn,Adj Close,Volume,High,Low,intc,Adj Close,Volume,Date,Open,High,Low,msft,Adj Close,Volume,Date,Open,High,Low,pfe,Adj Close,Volume
30/12/2022,128.410004,129.949997,127.43,129.929993,129.731918,76960600,30/12/2022,83.120003,84.050003,82.470001,84,84,62401200,26.459999,25.799999,26.43,26.11183,30997900,30/12/2022,238.210007,239.960007,236.660004,239.820007,239.220825,21930800,30/12/2022,51.290001,51.400002,50.75,51.240002,50.773872,11396200
29/12/2022,127.989998,130.479996,127.730003,129.610001,129.412415,75703700,29/12/2022,82.870003,84.550003,82.550003,84.18,84.18,54995900,26.290001,25.75,26.209999,25.894478,30944800,29/12/2022,235.649994,241.919998,235.649994,241.009995,240.407837,19770700,29/12/2022,51.02,51.669998,50.990002,51.330002,50.863052,8971300
28/12/2022,129.669998,131.029999,125.870003,126.040001,125.847855,85438400,28/12/2022,82.800003,83.480003,81.690002,81.82,81.82,58228600,26.120001,25.5,25.540001,25.232544,26176900,28/12/2022,236.889999,239.720001,234.169998,234.529999,233.944031,17457100,28/12/2022,51.049999,51.389999,50.75,50.799999,50.337872,10053900
27/12/2022,131.380005,131.410004,128.720001,130.029999,129.831772,69007800,27/12/2022,84.970001,85.349998,83,83.040001,83.040001,57284000,26.1,25.65,25.940001,25.627729,29548100,27/12/2022,238.699997,238.929993,235.830002,236.960007,236.367981,16688600,27/12/2022,51.860001,51.93,51.049999,51.130001,50.664871,12033800
23/12/2022,130.919998,132.419998,129.639999,131.860001,131.658981,63814900,23/12/2022,83.25,85.779999,82.93,85.25,85.25,57433700,26.190001,25.68,26.09,25.775923,23600900,23/12/2022,236.110001,238.869995,233.940002,238.729996,238.133545,21207000,23/12/2022,51.560001,51.950001,51.240002,51.830002,51.358505,10666500
22/12/2022,134.350006,134.559998,130.300003,132.229996,132.028412,77852100,22/12/2022,85.519997,85.68,82.25,83.790001,83.790001,81431300,26.450001,25.35,25.969999,25.657366,47478300,22/12/2022,241.259995,241.990005,233.869995,238.190002,237.594894,28651700,22/12/2022,51.41,51.700001,50.950001,51.639999,51.170231,14822300
21/12/2022,132.979996,136.809998,132.75,135.449997,135.2435,85928000,21/12/2022,86.18,87.230003,85.209999,86.769997,86.769997,59267200,26.969999,26.58,26.83,26.507013,28100900,21/12/2022,241.690002,245.619995,240.110001,244.429993,243.81929,23690600,21/12/2022,51.610001,52.16,51.200001,51.66,51.190048,12925000
20/12/2022,131.389999,133.25,129.889999,132.300003,132.098312,77432800,20/12/2022,85.330002,86.610001,84.330002,85.190002,85.190002,74348300,26.870001,26.42,26.440001,26.12171,31863300,20/12/2022,239.399994,242.910004,238.419998,241.800003,241.195877,25150800,20/12/2022,51.209999,51.509998,50.84,51.32,50.853142,12433800
19/12/2022,135.110001,135.199997,131.320007,132.369995,132.168198,79592600,19/12/2022,87.510002,87.629997,84.510002,84.919998,84.919998,83531500,26.969999,26.5,26.790001,26.467497,37662500,19/12/2022,244.860001,245.210007,238.710007,240.449997,239.849243,29696400,19/12/2022,51.52,51.810001,50.700001,51.360001,50.89278,16081900
16/12/2022,136.690002,137.649994,133.729996,134.509995,134.304932,160156900,16/12/2022,88.269997,89.349998,86.730003,87.860001,87.860001,146144100,27.139999,26.450001,26.92,26.59593,81104200,16/12/2022,248.550003,249.839996,243.509995,244.690002,244.078659,86102000,16/12/2022,53.009998,53.139999,51.400002,51.400002,50.932415,65689500
